Column1,Id,Company,Acquisition date,Founded,Headcount,Headcount_bucketed,AcquiredBy,Obsolete Category,Description,Categories,Business,Acquisition Value (USD),BroadCategory,x_transition1,y_transition1,x_transition2,y_transition2,x_stable,y_stable,x_acquired1,y_acquired1,x_acquired2,y_acquired2,x_acquired_stable,y_acquired_stable
236,236,Ruba.com,2010,2008,50,50,Google,Software,Ruba is a web-based visual travel guide that helps travelers discover and plan their next trip.,"Guides, Internet",Travel,,Software,50,100,44,49,44,49,50,20,75,0,75,0
237,237,Simplify Media,2010,2005,50,50,Google,AI/ML/Analytics,"Simplify Media develops streaming media software that enables users to remotely access, play and share their personal digital media.","Digital Entertainment, Digital Media, Mobile",Music streaming,,AI/ML/Analytics,50,100,40,73,40,73,50,20,75,0,75,0
238,238,Global IP Solutions,2010,1999,100,100,Google,AR/VR,The world's most widely deployed technology for processing real-time voice and video over IP Global IP Solutions is the recognized leader,Software,Video and audio compression,68200000,Software,50,100,44,52,44,52,50,20,75,0,75,0
239,239,BumpTop,2010,2007,50,50,Google,AR/VR,BumpTop provides users with a personalized desktop interface allowing users to customize their screens in a 3D environment.,Software,Desktop environment,30000000,Software,50,100,58,50,58,50,50,20,75,0,75,0
240,240,LabPixies,2010,2006,10,50,Google,AR/VR,"LabPixies develops personalized web gadgets, including entertainment gadgets such as games and music, and utilities such as search tools.",Software,Gadgets,,Software,50,100,45,72,45,72,50,20,75,0,75,0
241,241,Agnilux,2010,2009,10,50,Google,AR/VR,Agnilux is a stealth semiconductor firm.,Hardware,Server CPUs,,Hardware,50,100,40,41,40,41,50,20,75,0,75,0
242,242,PlinkArt,2010,2005,25,50,Google,AR/VR,Visual search engine,Software,Visual search engine,,Software,50,100,49,54,49,54,50,20,75,0,75,0
243,243,Episodic,2010,2008,10,50,Google,Software,"Episodic, an online video platform, broadcasts live and on-demand video on the web, mobile phones, or other web-enabled devices.","Broadcasting, Internet",Online video platform start-up,,Software,50,100,55,59,55,59,50,20,75,0,75,0
244,244,DocVerse,2010,2007,10,50,Google,Software,"DocVerse offers a plug-in for MS Word, PowerPoint, and Excel that turns these apps into full-fledged, web-enabled, collaboration tools.",Document Management,Microsoft Office files sharing site,25000000,Software,50,100,50,47,50,47,50,20,75,0,75,0
245,245,Picnik,2010,2006,50,50,Google,AR/VR,Picnik is an online photo editor that provides its users access to photo-editing tools.,Photosharing,Photo editing,,Software,50,100,60,54,60,54,50,20,75,0,75,0
246,246,reMail,2010,2008,10000,1000,Google,AI/ML/Analytics,ReMail is an email app that downloads email to iPhone and lets users go through a comprehensive email search.,"Email, Messaging, Mobile Apps",Email search,,AI/ML/Analytics,50,100,56,47,56,47,50,20,75,0,75,0
247,247,Aardvark,2010,2007,50,50,Google,AR/VR,Aardvark is a social search engine that allows users to ask questions and receive answers from their extended network.,"Internet, Search Engine, Social",Social search,50000000,Software,50,100,60,44,60,44,50,20,75,0,75,0
248,248,AppJet,2009,2007,25,50,Google,AR/VR,AppJet is an online programming tool and web-based text editor for building simple web applications.,"Software, Venture Capital",Collaborative real-time editor,,Software,50,100,60,75,60,75,50,20,75,0,75,0
249,249,Teracent,2009,2003,50,50,Google,AI/ML/Analytics,Teracent is a company that helps advertisers format and more precisely target display ads to particular groups of people.,"Advertising, Machine Learning",Online advertising,,AI/ML/Analytics,50,100,46,40,46,40,50,20,75,0,75,0
250,250,AdMob,2009,2008,25,50,Google,AR/VR,AdMob is a mobile advertising network that helps app developers monetize and promote their mobile and tablet apps with ads.,"Ad Network, Advertising, Apps, Marketing, Mobile",Mobile advertising,750000000,Software,50,100,55,57,55,57,50,20,75,0,75,0
251,251,Gizmo5,2009,2003,1000,1000,Google,Software,Gizmo5 is a voice over Internet protocol communications network and a proprietary freeware soft phone offering IM and VoIP calls.,"Public Relations, VoIP",Voice over IP,30000000,Software,50,100,57,56,57,56,50,20,75,0,75,0
252,252,reCAPTCHA,2009,2007,10000,1000,Google,Security,"reCAPTCHA is a free CAPTCHA service that enables users to digitize books, newspapers and old-time radio shows.",Security,Security,,Security,50,100,48,44,48,44,50,20,75,0,75,0
253,253,On2,2009,1992,100,100,Google,AR/VR,On2 Technologies offers power video codec solutions for wireless IC designs.,"Content, Internet, SaaS, Software, Video",Video compression,133000000,Software,50,100,60,43,60,43,50,20,75,0,75,0
254,254,TNC,2008,2004,10,50,Google,Software,"TNC is a blogging platform provider based in South Korea. The company was acquired by Google on September 12, 2008.","Google, Web Browsers, Web Hosting",Weblog software,,Software,50,100,51,79,51,79,50,20,75,0,75,0
255,255,Omnisio,2008,2007,10000,1000,Google,AR/VR,Omnisio is an online platform that enables users to annotate and share videos from any website.,"File Sharing, Video",Online video,15000000,Software,50,100,58,52,58,52,50,20,75,0,75,0
256,256,Jaiku,2007,2006,10,50,Google,Software,Jaiku was a social networking site that allows users to send short messages and comment on and post. But is Now no more available.,Mobile,Microblogging,,Software,50,100,53,73,53,73,50,20,75,0,75,0
257,257,Zingku,2007,2005,10,50,Google,Software,Zingku is a mobile social network service allowing users to securely create and exchange things of interest with friends.,"Digital Media, Social Media, Social Network",Social networking service,,Software,50,100,47,54,47,54,50,20,75,0,75,0
258,258,ImageAmerica,2007,1989,10,50,Google,Software,Aerial photography,not provided,Aerial photography,,Software,50,100,60,79,60,79,50,20,75,0,75,0
259,259,Postini,2007,1999,500,500,Google,Software,Postini offers solutions that protect companies from malicious internet attacks.,"Cyber Security, Internet, Security",Communications security,625000000,Software,50,100,58,76,58,76,50,20,75,0,75,0
260,260,GrandCentral,2007,2006,10,50,Google,Software,"GrandCentral provides users with a single phone number that can access all their numbers, such as mobile, home, and work numbers.","Mobile, Telecommunications, VoIP",Voice over IP,45000000,Software,50,100,45,41,45,41,50,20,75,0,75,0
261,261,Zenter,2007,2004,25,50,Google,Software,Zenter is a web-based presentation app that allows users to create PowerPoint-like presentations on the web and share them with other users.,"Content, E-Commerce, Web Hosting",Presentation program,,Software,50,100,58,67,58,67,50,20,75,0,75,0
262,262,PeakStream,2007,2005,10,50,Google,AR/VR,PeakStream provides a software application platform for the high-performance computing market.,"Apps, Developer APIs, GPU, Software",Parallel processing,,Software,50,100,47,48,47,48,50,20,75,0,75,0
263,263,FeedBurner,2007,2004,50,50,Google,Software,FeedBurner is a feed management service that allows blog owners and podcasters to share and track their feeds with powerful tools.,"Blogging Platforms, Internet, Podcast",Web feed,100000000,Software,50,100,60,75,60,75,50,20,75,0,75,0
264,264,Panoramio,2007,2003,50,50,Google,AR/VR,Panoramio is a geolocation-oriented photo sharing website that provides imagery for Google Earth.,"Photo Sharing, Photography, Social Media",Photo sharing,,Media/Ad/Content,50,100,47,50,47,50,50,20,75,0,75,0
265,265,Crusix,2007,2002,25,50,Google,Media/Ad/Content,Social networking service,could not find,Social networking service,,Media/Ad/Content,50,100,49,62,49,62,50,20,75,0,75,0
266,266,GreenBorder,2007,2001,10,50,Google,AR/VR,A security software company that specialized in using virtualization to create safe zones for online activities for Internet users.,"Computer, Internet, Software",Computer security,,Software,50,100,43,75,43,75,50,20,75,0,75,0
267,267,Marratech,2007,1998,25,50,Google,AR/VR,Marratech is a company that provides video conferencing software.,Software,Videoconferencing,15000000,Software,50,100,43,73,43,73,50,20,75,0,75,0
268,268,Tonic Systems,2007,1999,25,50,Google,Software,"Tonic Systems, Inc. provides Java presentation automation products and solutions for document management.",Web Development,Presentation program,,Software,50,100,42,48,42,48,50,20,75,0,75,0
269,269,DoubleClick,2007,1995,5000,1000,Google,Media/Ad/Content,"DoubleClick, a subsidiary of Google, develops and provides internet ad serving services.",Advertising,Online advertising,3100000000,Media/Ad/Content,50,100,52,65,52,65,50,20,75,0,75,0
270,270,Trendalyzer,2007,2002,25,50,Google,AI/ML/Analytics,Statistical software,not provided,Statistical software,,AI/ML/Analytics,50,100,55,61,55,61,50,20,75,0,75,0
271,271,Adscape,2007,2004,25,50,Google,AR/VR,Adscape Media is a small in-game advertising company based in San Francisco California. Adscape Media offers dynamic delivery of,"Advertising, Digital Media, Marketing",In-game advertising,23000000,Software,50,100,47,74,47,74,50,20,75,0,75,0
272,272,Endoxon,2006,1988,25,50,Google,Software,Endoxon is a mapping company,Information Technology,Mapping,28000000,Software,50,100,53,61,53,61,50,20,75,0,75,0
273,273,JotSpot,2006,2004,10,50,Google,AR/VR,JotSpot provides structured wiki software for small to medium-sized businesses.,"Collaboration, Enterprise Software, Software",Web application,,Software,50,100,42,40,42,40,50,20,75,0,75,0
274,274,Logo of YouTube (2005-2011).svg YouTube,2006,2005,5000,1000,Google,Software,"YouTube, a video-sharing platform, allows users to upload, view, and share videos, including movie and music clips and amateur content.","Internet, Music, Video",Video sharing,1650000000,Software,50,100,59,42,59,42,50,20,75,0,75,0
275,275,Neven Vision Germany GmbH,2006,2003,25,50,Google,AR/VR,"Neven Vision is a developer of mobile recognition engines for mobile phone and consumer electronics industries, and more.",Software,Computer vision,,Software,50,100,58,47,58,47,50,20,75,0,75,0
276,276,2Web Technologies,2006,2003,25,50,Google,AR/VR,2Web Technologies provides web-based spreadsheet solutions for large scale businesses.,Software,Online spreadsheets,,Software,50,100,46,46,46,46,50,20,75,0,75,0
277,277,Orion,2006,2001,25,50,Google,AR/VR,Web search engine,"Content, Search Engine, Web Hosting",Web search engine,,Software,50,100,55,40,55,40,50,20,75,0,75,0
278,278,@Last Software,2006,1999,25,50,Google,Hardware,@Last Software is a 3D-design toolmaker and developer of the SketchUp software.,"3D Technology, Developer Tools",3D modeling software,,Hardware,50,100,60,57,60,57,50,20,75,0,75,0
279,279,Upstartle,2006,2004,25,50,Google,AR/VR,"Upstartle, a software development company, provides a web application (Writely) that enables users to edit their documents online.",Software,Word processor,,Software,50,100,60,66,60,66,50,20,75,0,75,0
280,280,Measure Map,2006,2001,10,50,Google,AI/ML/Analytics,Measure Map is a distance measurement tool that provides free statistical analysis for bloggers.,"Advertising, Analytics, Big Data",Weblog software,,AI/ML/Analytics,50,100,47,71,47,71,50,20,75,0,75,0
281,281,dMarc Broadcasting,2006,2002,25,50,Google,Software,dMarc Broadcasting is a radio advertising company.,"Advertising, Advertising Platforms, Internet Radio",Advertising,102000000,Software,50,100,50,61,50,61,50,20,75,0,75,0
282,282,allPAY GmbH,2005,1999,25,50,Google,Software,allPAY is a mobile company that was acquired by Google in December of 2005.,Mobile,Mobile software,,Software,50,100,44,52,44,52,50,20,75,0,75,0
283,283,bruNET GmbH,2005,2000,25,50,Google,Software,Mobile software,could not find,Mobile software,,Software,50,100,59,65,59,65,50,20,75,0,75,0
284,284,Phatbits,2005,2004,25,50,Google,Software,Widget engine,not provided,Widget engine,,Software,50,100,45,50,45,50,50,20,75,0,75,0
285,285,Skia Inc.,2018,1996,25,50,Google,Software,Skia is an open source 2D graphics library which provides common APIs that work across a variety of hardware and software platforms.,Graphic Design,Graphics library,,Software,50,100,54,43,54,43,50,20,75,0,75,0
286,286,Android Inc.,2005,2003,25,50,Google,AR/VR,Android provides an open-source mobile software platform that allows developers to create applications for mobile devices.,"Linux, Mobile, Search Engine",Mobile operating system,50000000,Software,50,100,41,57,41,57,50,20,75,0,75,0
287,287,Akwan Information Technologies,2005,2000,10000,1000,Google,AR/VR,"Akwan Information Technologies was a search engine company based in Brazil. It was acquired by Google on July 20, 2005, and is now a part","Information Technology, IT Management, Search Engine",Search engines,,Software,50,100,54,45,54,45,50,20,75,0,75,0
288,288,Reqwireless,2018,2001,25,50,Google,Hardware,Reqwireless makes Web browser and e-mail software for use on wireless devices,Wireless,Mobile browser,,Hardware,50,100,59,48,59,48,50,20,75,0,75,0
289,289,Dodgeball,2005,2000,25,50,Google,AR/VR,Dodgeball is a location-based social networking software provider for mobile devices.,"Mobile Devices, Software",Social networking service,,Software,50,100,43,49,43,49,50,20,75,0,75,0
290,290,Urchin Software Corporation,2005,2000,25,50,Google,AR/VR,Urchin Software analyzes web server log file content to generate traffic reports based on the log data.,Software,Web analytics,,Software,50,100,55,74,55,74,50,20,75,0,75,0
291,291,"Keyhole, Inc",2004,2001,50,50,Google,AR/VR,Keyhole is a software development company that specializes in geospatial data visualization applications.,"Geospatial, Software",Map analysis,,Software,50,100,56,65,56,65,50,20,75,0,75,0
292,292,Where2,2018,2004,10000,1000,Google,AR/VR,"Where2 is a GPS navigation service that notifies drivers of upcoming traffic, tie-ups, and automatically suggests alternate routes.",Software,Map analysis,,Software,50,100,55,68,55,68,50,20,75,0,75,0
293,293,ZipDash,2018,2003,25,50,Google,Software,"ZipDash tackles highway congestion by providing individuals with real-time, accurate traffic information.","Automotive, E-Commerce, Mobile, Real Time, Travel",Traffic analysis,,Software,50,100,44,68,44,68,50,20,75,0,75,0
294,294,Picasa,2004,1999,25,50,Google,AI/ML/Analytics,Image organizer,could not find,Image organizer,,AI/ML/Analytics,50,100,56,49,56,49,50,20,75,0,75,0
295,295,Ignite Logic,2004,2003,25,50,Google,Software,"Ignite Logic, Inc was a startup company purchased by Google in 2004. The company provided templates for creating Web sites and mainly",not provided,HTML editor,,Software,50,100,41,45,41,45,50,20,75,0,75,0
296,296,Sprinks,2018,2002,25,50,Google,Media/Ad/Content,Online advertising,not provided,Online advertising,,Media/Ad/Content,50,100,57,53,57,53,50,20,75,0,75,0
297,297,Genius Labs,2018,1996,5000,1000,Google,AR/VR,"GeniusLabs, Inc. is a leading developer of distributed applications and custom software using Microsoft technologies.","Developer APIs, Developer Tools, Software",Blogging,,Software,50,100,57,80,57,80,50,20,75,0,75,0
298,298,Kaltix,2003,2002,25,50,Google,Software,Kaltix Corporation develops search tools for people to find information on the Web.,"SEO, Web Hosting",Web search engine,,Software,50,100,45,62,45,62,50,20,75,0,75,0
299,299,Neotonic Software,2018,2001,25,50,Google,AR/VR,email-based CRM solutions,"CRM, Software",Customer relationship management,,Software,50,100,49,41,49,41,50,20,75,0,75,0
300,300,Applied Semantics,2018,1998,10000,1000,Google,AR/VR,"Applied Semantics develops software apps for the online advertising, domain name, and enterprise information management markets.","Developer APIs, Enterprise Software, Mobile Apps",Online advertising,102000000,Software,50,100,55,69,55,69,50,20,75,0,75,0
301,301,Pyra Labs,2018,1999,50,50,Google,AR/VR,"Pyra Labs is an e-blogging web application that integrates project manager, contact manager and to do list functionalities.","Blogging Platforms, Developer APIs, Developer Tools, Enterprise Software, Project Management, Social Media",Weblog software,,Software,50,100,51,73,51,73,50,20,75,0,75,0
302,302,Outride,2001,1996,25,50,Google,Software,"Outride Inc., a Redwood City, Calif.-based developer of online information retrieval technologies.","Energy, Information Technology, Online Portals",Web search engine,,Software,50,100,41,64,41,64,50,20,75,0,75,0
303,303,Deja,2001,1996,25,50,Google,Software,"Deja.com, Inc. provides two powerful Web-based services - the first Precision Buying Service, and the leading Usenet Discussion Service.","Information Technology, Internet, Web Development",Usenet,,Software,50,100,47,55,47,55,50,20,75,0,75,0
304,304,WIMM Labs,2012,2010,50,50,Google,AR/VR,WIMM Labs offers a platform for smart micro devices that deliver information at a glance in a wearable form.,"Hardware, Software, Wearables",Android-powered smartwatches,,Software,50,100,52,62,52,62,50,20,75,0,75,0
305,305,Confirm,2018,2017,50,50,Facebook,AI/ML/Analytics,"Confirm.io makes authenticating a government issued ID easy, fast & secure.",Identity Management,Government Issued ID Verification Platform,,AI/ML/Analytics,50,100,46,63,46,63,50,20,50,0,50,0
306,306,Tbh (app) logo.svg tbh (app),2017,2016,25,50,Facebook,Software,"tbh is an app for giving anonymous, positive feedback to friends.","iOS, Mobile Apps, Social, Social Media",Anonymous social media app,,Software,50,100,40,42,40,42,50,20,50,0,50,0
307,307,Ozlo,2017,2013,50,50,Facebook,AI/ML/Analytics,Ozlo is an intelligent assistant for iOS and the web.,"Artificial Intelligence, Computer, Information Services, Mobile",Artificial Intelligence,,AI/ML/Analytics,50,100,50,40,50,40,50,20,50,0,50,0
308,308,Faciometrics,2016,2015,25,50,Facebook,AI/ML/Analytics,FacioMetrics develops facial analysis software for mobile applications.,"Machine Learning, Mobile Apps, Social Media, Software","Computer Vision, Machine Learning",,AI/ML/Analytics,50,100,49,45,49,45,50,20,50,0,50,0
309,309,CrowdTangle,2016,2012,50,50,Facebook,AR/VR,CrowdTangle makes it incredibly easy to find and track content on the social web.,"Brand Marketing, Non Profit, Social Media",Publisher analytics,,Media/Ad/Content,50,100,41,74,41,74,50,20,50,0,50,0
310,310,Infiniled,2016,2010,50,50,Facebook,AR/VR,"The design, manufacture & sale of LED based optical and illumination modules.","Lighting, Hardware",Oculus VR,,Hardware,50,100,56,50,56,50,50,20,50,0,50,0
311,311,Nascent Objects,2016,2014,50,50,Facebook,AR/VR,"Create, prototype and manufacture cloud-connected products in days.","Manufacturing, Product Design, Software",Modular Electronics,,Software,50,100,51,46,51,46,50,20,50,0,50,0
312,312,Two Big Ears,2016,2013,50,50,Facebook,AR/VR,Two Big Ears is a Scottish company specialising in creating efficient audio toolkits for game and virtual reality developers.,"Audio, Consumer Electronics, Software, Virtual Reality",Spatial Audio,,AR/VR,50,100,46,54,46,54,50,20,50,0,50,0
313,313,MSQRD (Masquerade),2016,2010,10,50,Facebook,Software,Masquerade provides software solutions for video conferencing platforms.,"Consumer Applications, Mobile, Photo Editing",Visual effects (Face-swapping),,Software,50,100,59,43,59,43,50,20,50,0,50,0
314,314,Endaga,2015,2014,10,50,Facebook,Software,Endaga is a mobile platform that enables its users to create independent cellular networks for rural communities.,"Communications Infrastructure, Impact Investing, Infrastructure, Mobile, Telecommunications",Rural communications,,Software,50,100,52,40,52,40,50,20,50,0,50,0
315,315,Pebbles,2015,2010,500,500,Facebook,AR/VR,Pebbles Interfaces develops hardware and software that facilitate 3D gesture interaction in computing and electronic devices.,"Digital Media, Hardware, Mobile","Computer vision, augmented reality",60000000,Software,50,100,54,52,54,52,50,20,50,0,50,0
316,316,Surreal Vision,2015,2014,10,50,Facebook,AR/VR,Surreal Vision we are bringing super-human visual perception to the emerging fields of mixed reality and autonomous robotics.,Software,"Computer vision, augmented reality",,Software,50,100,46,70,46,70,50,20,50,0,50,0
317,317,"TheFind, Inc.",2015,2012,250,250,Facebook,AR/VR,TheFind is an e-commerce shopping search engine providing a multichannel environment to personalize the shopping experience.,"Coupons, E-Commerce, Lifestyle, Local, Mobile, Search Engine, Shopping",Ecommerce,,Software,50,100,49,52,49,52,50,20,50,0,50,0
318,318,Quickfire Networks,2015,2012,50,50,Facebook,Software,"Based in San Diego, QuickFire Networks solutions turbocharge the Cloud to satisfy the demands of todayí_í‚_í_í‚_í_Œ‚í_Œ_s processor-intensive applications.","Cloud Data Services, Video",Video Compression,,Software,50,100,43,50,43,50,50,20,50,0,50,0
319,319,Wit.ai,2015,2012,10,50,Facebook,AI/ML/Analytics,Wit.ai makes it easy for developers to build a Siri-like speech interface for their app or device.,"Artificial Intelligence, Computer, Developer APIs, Machine Learning, Software",Speech recognition,,AI/ML/Analytics,50,100,60,58,60,58,50,20,50,0,50,0
320,320,WaveGroup Sound,2014,1995,50,50,Facebook,Media/Ad/Content,"WaveGroup Sound is a music production studio located in Fremont, California specializing in audio post production & design.",not provided,Sound Studio,,Media/Ad/Content,50,100,52,57,52,57,50,20,50,0,50,0
321,321,LiveRail,2014,2007,250,250,Facebook,AR/VR,LiveRail is a monetization platform for video publishers.,"Advertising, Enterprise Software, Video",Publisher Monetization Platform,500000000,Software,50,100,48,52,48,52,50,20,50,0,50,0
322,322,PrivateCore,2014,2011,10,50,Facebook,Security,PrivateCore enables enterprises to deploy servers in outsourced environments while maintaining data security.,"Cyber Security, Security",Secure Server Technology,,Security,50,100,53,51,53,51,50,20,50,0,50,0
323,323,ProtoGeo Oy,2014,2012,10,50,Facebook,Software,ProtoGeo is a startup focused on the development of mobile applications.,Mobile,Fitness tracking app Moves,,Software,50,100,52,62,52,62,50,20,50,0,50,0
324,324,Ascenta,2014,2010,25,50,Facebook,Hardware,Ascenta (UK) provides solar-powered drones.,"Aerospace, Manufacturing",High-altitude UAVs,20000000,Hardware,50,100,56,58,56,58,50,20,50,0,50,0
325,325,Oculus VR,2014,2012,1000,1000,Facebook,AR/VR,"Oculus develops virtual reality platforms and products, including Rift, that let people experience anything, with anyone.","Augmented Reality, Consumer Electronics, Hardware, Video Games, Virtual Reality, Virtualization",Virtual reality technology,2000000000,AR/VR,50,100,57,71,57,71,50,20,50,0,50,0
326,326,WhatsApp.svg WhatsApp,2014,2009,10000,1000,Facebook,Software,"WhatsApp is a proprietary, cross-platform, free instant messaging subscription service for smartphones.","Android, Messaging, Mobile, Subscription Service",Mobile instant messaging,19000000000,Software,50,100,57,70,57,70,50,20,50,0,50,0
327,327,Branch,2014,2011,50,50,Facebook,Software,"Branch Media builds social products to empower conversation, such as a platform for hosting and publishing invite-only conversations.","Internet, Messaging, Social",Web conversation platform,15000000,Software,50,100,53,53,53,53,50,20,50,0,50,0
328,328,Little Eye Labs,2014,2012,10,50,Facebook,Software,Tools for Mobile App Development,"Android, Mobile, Test and Measurement",Performance analysis and monitoring tools for Android,15000000,Software,50,100,43,65,43,65,50,20,50,0,50,0
329,329,SportStream,2013,2012,25,50,Facebook,Software,"SportsStream offers a second-screen platform for sporting events via tweets, news feeds, photos, stats, and more.","Consumer Electronics, Mobile, Sports",Sports conversation analysis,,Software,50,100,51,63,51,63,50,20,50,0,50,0
330,330,Onavo,2013,2010,50,50,Facebook,Software,"Onavo develops mobile applications that assist its users in managing their finance, entertainment, social networking, and privacy.","Finance, Mobile, Social Network",Mobile analytics and Israel Facebook Headquarters Office,,Software,50,100,41,62,41,62,50,20,50,0,50,0
331,331,Jibbigo,2013,2009,50,50,Facebook,AR/VR,Jibbigo is a voice translation application that you can use online or offline.,"Apps, Audio, Big Data, Language Learning, Mobile",Speech translation app,,Software,50,100,49,60,49,60,50,20,50,0,50,0
332,332,Monoidics,2013,2009,50,50,Facebook,AI/ML/Analytics,Monoidics is a high-tech enterprise specializing in automatic formal verification and analysis of software.,"Analytics, Enterprise Software, Information Technology",Automatic verification software,,AI/ML/Analytics,50,100,41,71,41,71,50,20,50,0,50,0
333,333,Parse,2013,2011,50,50,Facebook,AR/VR,"Parse offers cloud-based software developer kits that enable users to create apps for desktop, mobile, and embedded devices.","Android, Cloud Computing, Enterprise Software, iOS, Mobile, PaaS",Mobile app backends,85000000,Software,50,100,43,43,43,43,50,20,50,0,50,0
334,334,Spaceport,2013,2007,50,50,Facebook,Software,Spaceport.io is a platform that allows developers to build games for smartphone operating system using Javascript and HTML5.,"Gaming, Mobile, Mobile Devices, Online Games, Web Development",Cross-platform game framework,,Software,50,100,48,69,48,69,50,20,50,0,50,0
335,335,Hot Studio,2013,1997,100,100,Facebook,Software,Hot Studio is a design company that designs and builds digital products and services.,"Internet, Social Media, Web Design",Design agency,,Software,50,100,40,80,40,80,50,20,50,0,50,0
336,336,osmeta,2018,2011,25,50,Facebook,AR/VR,Osmeta is a mobile software startup currently in stealth mode.,"Hardware, Software",Mobile software,,Software,50,100,40,56,40,56,50,20,50,0,50,0
337,337,Atlas Solutions,2013,2001,10000,1000,Facebook,Software,Atlas Solution is a remotely hosted ad serving for advertisers & publishers.,"Advertising, Advertising Platforms, Internet",Atlas advertiser suite,100000000,Software,50,100,46,74,46,74,50,20,50,0,50,0
338,338,Threadsy,2012,2008,10,50,Facebook,Media/Ad/Content,threadsy is an integrated communication client grouping all of a users' email and social network messages into a single inbox.,"Messaging, Social Media, Social Network","Threadsy is a social aggregator, Maker of social marketing tool Swaylo",,Media/Ad/Content,50,100,55,72,55,72,50,20,50,0,50,0
339,339,Acrylic Software,2012,2008,10,50,Facebook,AR/VR,Acrylic Software is a software design studio that develops apps for Mac and iOS devices.,Software,RSS app Pulp and secure database app Wallet,,Software,50,100,50,75,50,75,50,20,50,0,50,0
340,340,Spool,2012,2010,25,50,Facebook,AR/VR,"Spool enables users to save articles and videos to their computer, tablet and mobile phone for future online or offline access.","Enterprise Software, Mobile, Social Bookmarking, Video",Mobile bookmarking and sharing content,,Software,50,100,57,59,57,59,50,20,50,0,50,0
341,341,Face.com,2012,2005,50,50,Facebook,AI/ML/Analytics,Face.com is the largest face recognition platform on the cloud.,"Artificial Intelligence, Cloud Storage, Facial Recognition, Machine Learning, Photography, Social Network",Face recognition platform,100000000,AI/ML/Analytics,50,100,56,66,56,66,50,20,50,0,50,0
342,342,Karma,2012,2011,50,50,Facebook,Software,Karma Automotive is a social gifting app.,"Gift, Mobile, Social",Social gifting,,Software,50,100,55,59,55,59,50,20,50,0,50,0
343,343,Lightbox.com,2012,2010,10,50,Facebook,AR/VR,"Lightbox develops consumer mobile apps such as Lightbox photos, an app that provides photo cloud-hosting solutions.","Android, Mobile, Photo Sharing",Photo sharing,,Software,50,100,59,66,59,66,50,20,50,0,50,0
344,344,Glancee,2012,2010,10,50,Facebook,AR/VR,Glance is a mobile app that enables users to discover and connect with people around them.,"Android, Dating, iOS, Location Based Services, Mobile, Public Relations, Search Engine",Social discovery platform,,Software,50,100,51,68,51,68,50,20,50,0,50,0
345,345,Tagtile,2012,2011,10,50,Facebook,AR/VR,Tagtile is a loyalty and direct marketing solution helping businesses identify and engage their clients to increase repeated purchase rates.,"Direct Marketing, Loyalty Programs, Mobile, Social Media",Customer loyalty app,,Software,50,100,49,47,49,47,50,20,50,0,50,0
346,346,Instagram logo 2016.svg Instagram,2012,2010,500,500,Facebook,AR/VR,"Instagram is a free photo sharing application that enables its users to take photos, apply filters, and share them on social networks.","Mobile, Photo Sharing, Photography, Social Media",Photo sharing,1000000000,Software,50,100,59,65,59,65,50,20,50,0,50,0
347,347,Caffeinatedmind,2012,2007,25,50,Facebook,Software,In-browser file transfer,could not find,In-browser file transfer,,Software,50,100,41,62,41,62,50,20,50,0,50,0
348,348,Gowalla,2011,2007,50,50,Facebook,Software,"Gowalla is a social guide for its users to share and discover photos, experiences and recommendations of places and cities.","Location Based Services, Photography, Private Social Networking, Travel, Internet",Location Based Service,,Software,50,100,41,56,41,56,50,20,50,0,50,0
349,349,Strobe,2011,2010,50,50,Facebook,AR/VR,Strobe is a company that is focused on capturing data points.,"iOS, Mobile, Software, Web Development","HTML5 mobile apps, SproutCore",,Software,50,100,49,47,49,47,50,20,50,0,50,0
350,350,Friend.ly,2011,2009,50,50,Facebook,Media/Ad/Content,Friend.ly is a social Q&A site allowing users to post questions on different subjects and get them answered.,"Blogging Platforms, Social Media",Social casual Q&A service app,,Media/Ad/Content,50,100,48,77,48,77,50,20,50,0,50,0
351,351,Push Pop Press,2011,2010,10,50,Facebook,AR/VR,Push Pop Press is a digital publishing platform that helps authors and publishers convert physical books into iPad and iPhone formats.,"Advertising, Digital Media, Marketing",Digital publishing,,Software,50,100,43,55,43,55,50,20,50,0,50,0
352,352,Sofa,2011,2006,50,50,Facebook,AR/VR,Sofa is a software and interaction design company.,"Developer Tools, Software",Software design,,Software,50,100,54,70,54,70,50,20,50,0,50,0
353,353,MailRank,2011,2010,25,50,Facebook,AI/ML/Analytics,MailRank email that matters.,not provided,Email prioritization,,AI/ML/Analytics,50,100,57,77,57,77,50,20,50,0,50,0
354,354,DayTum,2011,2010,25,50,Facebook,AI/ML/Analytics,"Daytum helps you collect, categorize, and communicate your data. Whether you would like to tally an afternoon or a year, Daytum can help","Analytics, Big Data, Database",Information graphics,,AI/ML/Analytics,50,100,49,56,49,56,50,20,50,0,50,0
355,355,RecRec,2011,2006,25,50,Facebook,AR/VR,Computer vision,could not find,Computer vision,,AR/VR,50,100,49,80,49,80,50,20,50,0,50,0
356,356,Snaptu,2011,1994,50,50,Facebook,Software,Snaptu is a mobile application platform that runs on virtually every type of internet-enabled mobile phones.,Mobile,Mobile app developer,70000000,Software,50,100,54,50,54,50,50,20,50,0,50,0
