Id,AcquiredBy,Acquisition date,Company,Business,Country,Value (USD),Derived products,Categories,Founded,Size,Size(modified),Description,BroadCategory
148,Google,2014,Appurify,Automated application testing,USA,N/A,Android,"Android, Apps, iOS, Mobile, Test and Measurement",2012,50,50,Appurify enables mobile test automation on real devices for mobile teams to build better apps.,
149,Google,2014,Dropcam,Home monitoring,USA,"$555,000,000",Nest Labs,"Consumer Electronics, Hardware, SaaS",2009,100,100,Dropcam develops a Wi-Fi camera with easy setup and continuous cloud recording.,
150,Google,2014,mDialog,Online advertising,CAN,N/A,DoubleClick,"Advertising, Information Technology, Video Streaming",2005,50,50,mDialog is a Canada-based company that provides video stream management services on connected devices.,
151,Google,2014,Alpental Technologies,Wireless,USA,N/A,Google,Information Technology,2012,10,10,"Alpental is developing next-generation wireless technology.It was founded in 2012 and is based in Bothell, Washington. As per the transaction announced on June 19, 2014, Alpental Technologies, Inc. operates as a subsidiary of Google Inc.",
152,Google,2014,Skybox Imaging,Satellite,USA,"$500,000,000","Google Maps, Project Loon","Cloud Security, Cyber Security, Enterprise Software, Network Security, Security, Software",2002,500,500,Skybox Security is a global leader in security analytics for cybersecurity management,
153,Google,2014,Divide,Mobile device management,USA,N/A,Android for Work,"Enterprise Software, Information Technology, Mobile, SaaS, Software",2010,250,250,"Divide is a dual-persona platform, which separates iOS and android devices into two personas for work and play.",
154,Google,2014,Quest Visual,Augmented reality,USA,N/A,Google Translate,"Data Visualization, iOS, Software",2009,10,10,Maker of Word Lens and application which instantly translates printed words from one language to another using a device's built-in video,
155,Google,2014,Appetas,Restaurant website creation,USA,N/A,Zagat,"Network Security, Restaurants, SaaS",2012,50,50,"Appetas offers a restaurant marketing platform that enables restaurants to easily create web, mobile, and social sites.",
156,Google,2014,Stackdriver,Cloud computing,USA,N/A,Google Cloud Platform,"Apps, Cloud Computing, Enterprise Software, Infrastructure",2012,50,50,Stackdriver provides monitoring services for cloud-powered applications.,
157,Google,2014,MyEnergy,Online energy usage monitoring,USA,N/A,Nest Labs,"Clean Energy, Energy Efficiency",2007,50,50,MyEnergy is a personalized guide to energy savings with tips and incentives for reducing energy consumption and saving on utility bills.,
158,Google,2014,Adometry,Online advertising attribution,USA,N/A,Google Analytics AdSense,"Advertising, Analytics, SaaS",2005,250,250,Adometry by Google offers a SaaS-based marketing attribution and optimization platform to improve return on advertising expenditure.,
159,Google,2014,Rangespan,E-commerce,UK,N/A,Google Shopping,"Analytics, E-Commerce, Supply Chain Management",2011,50,50,Rangespan is a technology company providing supplier management and market data systems for retailers.,
160,Google,2014,Titan Aerospace,High-altitude UAVs,USA,N/A,Project Loon,"Aerospace, Manufacturing",2012,50,50,Titan Aerospace is developing a fleet of revolutionary atmospheric satellites or atmosats.,
161,Google,2014,GreenThrottle,Gadgets,USA,N/A,Android,"Console Games, Consumer Electronics, Mobile",2012,50,50,"Green Throttle Games develops quality, innovative games and hardware for mobile devices.",
162,Google,2014,spider.io,Anti-click fraud,UK,N/A,"DoubleClick, Adsense","Advertising, Analytics, Fraud Detection, Internet, Security",2011,10,10,Spider.io is an IT security providers offers Anti-malware solutions for online advertisers.,
163,Google,2014,SlickLogin,Internet Security,ISR,N/A,Project Zero (Google),"Mobile, Mobile Apps, Security",2013,50,50,SlickLogin creates the simplest login experience for you using your smartphone.,
164,Google,2014,DeepMind Technologies,Artificial intelligence,UK,"$625,000,000",Google DeepMind,"AI, ML",2010,100,100,Google DeepMind develops learning algorithms that use data or raw experience to better themselves.,
165,Google,2014,Impermium,Internet security,USA,N/A,Project Zero (Google),Security,2010,50,50,Impermium is a cyber-security company using ML to protect Internet sites against account hijacking and malicious user behavior & content.,
166,Google,2014,Nest Labs,Home automation,USA,"$3,200,000,000",Nest Labs,"Sensor, Manufacturing, Smart Home",2010,5000,5000,"Nest Labs is a home automation company manufacturing sensor-driven, Wi-Fi-enabled, self-learning thermostats and smoke detectors.",
167,Google,2014,Bitspin,Timely App for Android,CHE,N/A,Android,"Apps, Web development",2013,,25,Bitspin is creating magical experiences.,
168,Google,2013,Autofuss,Ads and Design,USA,N/A,X,Product Design,2008,50,50,"Autofuss like to fill people with wonder in what they see, what they touch.",
169,Google,2013,Bot & Dolly,Robotic cameras,USA,N/A,X,"Software, Robotics",2007,50,50,"Bot & Dolly is a design and engineering studio that specializes in automation, robotics, and filmmaking.",
170,Google,2013,Holomni,Robotic wheels,USA,N/A,X,"Mobile, Robots",2010,,25,"Holomni produces powered, omnidirectional casters for mobile robots.",
171,Google,2013,Meka Robotics,Robots,USA,N/A,X,Robotics,2007,50,50,Meka Robotics is a provider of world-class robotic systems for researchers.,
172,Google,2013,Redwood Robotics,Robotic arms,USA,N/A,X,Robotics,2012,10,10,Redwood Robotics building revolutionary robotic solutions for innovative manufacturing and service companies.,
173,Google,2013,Industrial Perception,"Robotic arms, computer vision",USA,N/A,X,AI,2012,10000,10000,Industrial Pereception is home to some of the worldâ€™s foremost authorities and pioneers in machine vision and artificial intelligence.,
174,Google,2013,"SCHAFT, Inc.","Robotics, humanoid robots",JPN,N/A,X,,,,25,,
175,Google,2013,FlexyCore,DroidBooster App for Android,FRA,"$23,000,000",Android,Software,2008,,25,FlexyCore provides software solutions for smartphones.,
176,Google,2013,Flutter,Gesture recognition technology,USA,"$40,000,000","Google, Android, X","Content, Software",2015,10,10,Recurring tweets for dynamic content,
177,Google,2013,Bump,Mobile software,USA,N/A,Google Photos,,,,25,,
178,Google,2013,Waze,GPS navigation software,ISR,"$966,000,000",Google Maps,"Mobile Apps, Navigation, Transportation",2007,100,100,"Waze is a mobile navigation app that enables drivers to use live maps, and get real-time traffic updates and other road data.",
179,Google,2013,Makani Power,Airborne wind turbines,USA,N/A,X,Energy,2006,50,50,"Makani Power is an Alameda, California-based company developing airborne wind turbines.",
180,Google,2013,Wavii,Natural Language Processing,USA,"$30,000,000",Google Knowledge Graph,"ML, AI",2009,10,10,"Wavii provides an iPhone app enabling users to follow and receive updates on topics such as celebrities, companies, and politicians.",
181,Google,2013,Behavio,Social Prediction,USA,N/A,Google Now,Software,2012,50,50,"Behavio develops software and services that allow mobile devices to sense, understand, and react to human behavior and context.",
182,Google,2013,Talaria Technologies,Cloud computing,USA,N/A,Google Cloud,"Software, Web Design, Web Development",2011,,25,Talaria develops a dynamic web application server that helps people build and run websites more efficiently.,
183,Google,2013,DNNresearch Inc.,Deep Neural Networks,CAN,N/A,"Google, X",AI,2012,,25,DNNresearch develops voice and image recognition solutions.,
184,Google,2013,Channel Intelligence,Product ecommerce,USA,"$125,000,000",Google Shopping,"Manufacturing, Product Search, Shopping",1999,10000,10000,Channel Intelligence develops technology that connects shoppers with retailers through their brand website and digital media.,
185,Google,2012,BufferBox,Package delivery,CAN,"$17,000,000","Google Shopping, Android","E-Commerce, Marketplace, Shopping",2011,50,50,"BufferBox is a startup that develops an automated, self-serve kiosk to eliminate failed parcel deliveries.",
186,Google,2012,Incentive Targeting Inc.,Digital coupons,USA,N/A,Google Offers,"Public Relations, Retail",2007,50,50,Incentive Targeting offers a software-as-a-service platform for promotional campaigns in the grocery industry.,
187,Google,2012,Viewdle,Facial recognition,UKR,"$45,000,000",Android,"Analytics, Augmented Reality, Computer Vision, Mobile",2006,50,50,Viewdle is a mobile-focused visual analysis company creating computer vision and recognition technologies for consumer products.,
188,Google,2012,"Nik Software, Inc.",Photography,USA,N/A,"Google, Android","Image Recognition, Software",1995,250,250,Nik Software offers digital photographic software and technology for digital photography professionals.,
189,Google,2012,VirusTotal.com,Security,ESP,N/A,,Security,2004,50,50,"VirusTotal is a service that analyzes suspicious files and facilitates real-time detection of viruses, worms, trojans and malware content.",
190,Google,2012,Wildfire Interactive,Social media marketing,USA,"$450,000,000","Google, Google+","Consulting, Content, Data Integration, Developer Tools",2007,10,10,Wellfire Interactive is a web consultancy firm that helps businesses in various technological solutions.,
191,Google,2012,Sparrow,Mobile apps,FRA,"$25,000,000",Gmail,"Email, Messaging",2015,10,10,"Sparrow was an email client for OS X and iOS. After a 4-month beta period, Sparrow went on sale in the Mac App Store on February 9, 2011 and became the top paid and top grossing app in less than one day. On July 20, 2012, the company announced that it had been acquired by Google and was ceasing continued development of the application save critical...",
192,Google,2012,Quickoffice,Mobile office suite,USA,N/A,Google Docs,"Enterprise Software, iOS, Mobile",1980,250,250,"Quickoffice is a freeware software platform enabling users to open, view and edit Microsoft Office files on mobile phones.",
193,Google,2012,Meebo,Social networking,USA,"$100,000,000",Google+,"Internet, Messaging, Web Development",2005,250,250,Meebo is a consumer internet company that offers a social media platform to develop products for enhancing user engagement across the web.,
194,Google,2012,TxVia,Online payments,USA,N/A,"Google Wallet, Google Checkout","Finance, PAAS",2006,1000,1000,TxVia offers an advanced payments processing technology for emerging payments and other transactions in financial services.,
195,Google,2012,"Milk, Inc",Software company,USA,N/A,Google+,"Apps, Mobile, Software",2011,10,10,Milk is a mobile development lab that builds innovative mobile apps.,
196,Google,2011,Clever Sense,Local recommendations app,USA,N/A,Google Maps,"ML, AI",2008,50,50,"Clever Sense offers â€œAlfred,â€ù a mobile app delivering personalized recommendations for nearby restaurants, coffee shops, and nightclubs.",
197,Google,2011,RightsFlow,Music rights management,USA,N/A,YouTube,"Accounting, Music, Legal",2007,50,50,"RightsFlow offers mechanical licensing, royalty accounting, reporting and payment services for organizations, songwriters and individuals.",
198,Google,2011,Katango,Social circle organization,USA,N/A,Google+,Social Media,2010,10,10,Katango develops social algorithms that improve peopleâ€™s online social interaction and experiences.,
199,Google,2011,Apture,Instantaneous search,USA,N/A,Google Search,Advertising,2007,50,50,Apture allows users to search and explore content without leaving their current webpage.,
200,Google,2011,SocialGrapple,Social media analytics service,CAN,N/A,Google+ Google Analytics,"Analytics, Social Media",2010,10,10,SocialGrapple operates as a social graph analytics service provider.,
201,Google,2011,DailyDeal,One deal a day service,GER,"$114,000,000",Google Offers,"Beauty, Shopping",2009,50,50,"DailyDeal offers deals on food, drinks, beauty treatments, travel, and more.",
202,Google,2011,Zagat,Restaurant reviews,USA,"$151,000,000","Google Places, Google Maps",Consumer Reviews,1979,250,250,"Zagat is a web and smartphone app that provides access to ratings and reviews for restaurants, nightspots and hotels worldwide.",
203,Google,2011,Zave Networks,Digital coupons,USA,N/A,Google Offers,"Apps, Mobile",2006,10,10,"Zave Networks is a mobile app that enables consumers to access various digital discounts, offers and values from their neighborhood stores.",
204,Google,2011,Motorola Mobility,Mobile device manufacturer,USA,"$12,500,000,000","Android, Google TV, Android TV, Patent portfolio",Mobile Apps,2011,5000,5000,"Motorola exists to invent, build and deliver the best mobile devices on the planet, improving the lives of millions of people.",
205,Google,2011,Dealmap,One deal a day service,USA,N/A,Google Offers,"Coupons, Local, Mobile, Search Engine, Social Media",2010,50,50,"The Dealmap is an information source for people to find and share offers on national brands, websites and local businesses",
206,Google,2011,PittPatt,Facial recognition system,USA,N/A,Android,Face Recognition,2004,50,50,PittPatt (Pittsburgh Pattern Recognition) develops reliable face recognition software for images and video.,
207,Google,2011,Fridge,Social groups,USA,N/A,Google+,Photo Sharing,,10,10,"Fridge is a website enabling anyone to set up a lightweight, single-serving social network and organize their private online groups.",
208,Google,2011,Punchd,Loyalty program,USA,N/A,Google Offers,"Android, iOS, Loyalty Programs, Mobile",2010,10,10,Punchd is a mobile application facilitating mobile phone-enabled loyalty cards for businesses providing reward points for their customers.,
209,Google,2011,SageTV,Media center,USA,N/A,"Google TV, Google Fiber, Android TV","Digital Entertainment, Events, Media and Entertainment",2002,,25,SageTV provided digital media entertainment through the use of the internet.,
210,Google,2011,Admeld,Online advertising,USA,"$400,000,000","DoubleClick, Invite Media","Advertising, Auctions, Software",2007,100,100,Admeld is an advertising optimization platform providing online publishers with technology and expertise to sell their ad inventory.,
211,Google,2011,PostRank,Social media analytics service,CAN,N/A,Google+ Google Analytics,"Analytics, Social Media, Test and Measurement",2007,10000,10000,PostRank is a real-time engagement monitoring and analytics platform for social web content.,
212,Google,2011,Sparkbuy,Product search,USA,N/A,Google Shopping,"Consumer Electronics, E-Commerce, Shopping",2010,10000,10000,Sparkbuy is an online service that allows users to compare the prices and features of consumer electronics gadgets.,
213,Google,2011,TalkBin,Mobile software,USA,N/A,Android,Messaging,2014,10000,10000,TalkBin offers a tool that allows customers to send feedback messages to local businesses.,
214,Google,2011,ITA Software,Travel technology,USA,"$676,000,000",Google Flights,Information Technology,1996,500,500,ITA Software is an airline IT and services provider helping travel companies reduce costs and improve customer service.,
215,Google,2011,PushLife,Service provider,CAN,"$25,000,000",Google Play,"Digital Media, E-Commerce, Mobile",2008,10000,10000,Pushlife is a mobile commerce platform for mobile operators.,
216,Google,2011,Green Parrot Pictures,Digital video,IRL,N/A,YouTube,"Digital Media, Enterprise Software, Video",2004,10000,10000,"GreenParrotPictures was founded in 2004 as a Digital Video Technology Company providing IP licensing, consulting and software development.",
217,Google,2011,BeatThatQuote.com,Price comparison service,UK,"$65,000,000",Google Shopping,,,,25,,
218,Google,2011,Next New Networks,Online video,USA,N/A,YouTube,"Video, Video Streaming",2006,50,50,"Next New Networks is a producer of online video networks and a media company allowing viewers to contribute, share and distribute content.",
219,Google,2011,Zynamics,Security,GER,N/A,Project Zero (Google),Security,2004,10,10,Zynamics is a security analytics software company providing software analysis tools to help with malware analysis.,
220,Google,2011,SayNow,Voice recognition,USA,N/A,Google Voice,"Messaging, Social Network",2005,50,50,SayNow is a free service that lets fans and celebrities connect with one another via voice and text messaging.,
221,Google,2011,eBook Technologies,E-book,USA,N/A,Google Books,"Content, Ebooks",1998,10,10,eBook Technologies supplies a family of intelligent reading devices and technologies that enable automated publishing and control.,
222,Google,2010,Phonetic Arts,Speech synthesis,UK,N/A,"Google Voice, Google Translate",Software,2006,10000,10000,Phonetic Arts supplies speech synthesis technologies to the games industry.,
223,Google,2010,Widevine Technologies,DRM,USA,N/A,Google TV,"Digital Entertainment, Digital Media, Video",1998,100,100,Widevine provides digital media solutions for the delivery of digital entertainment to any device.,
224,Google,2010,BlindType,Touch typing,GRE,N/A,Android,Mobile,,10,10,"BlindType offers Fleksy, a virtual keyboard.",
225,Google,2010,Plannr,Schedule management,USA,N/A,Google+,Mobile,,10,10,Plannr is an email and mobile-based organizer and event planner helping users coordinate their schedules and emails.,
226,Google,2010,Quiksee,Online video,ISR,"$10,000,000",Google Maps,Digital Media,2004,50,50,Quiksee is an online tour technology platform that allows users to create location-based interactive visual media content.,
227,Google,2010,Angstro,Social networking service,USA,N/A,"Google, Google Alert","Enterprise Software, Facebook, Social Network",2007,10,10,Angstro delivers critical business news about people and companies across professional networks.,
228,Google,2010,"SocialDeck, Inc.",Social gaming,CAN,N/A,"Google, Google+","Mobile, Social Website",2008,10000,10000,SocialDeck is a PR and social marketing company.,
229,Google,2010,Like.com,Visual search engine,USA,"$100,000,000",Google Shopping,Image Recognition,1986,10000,10000,Like.com is a visual search engine that allows users to find similar products on the web and compare their prices.,
230,Google,2010,Jambool,Social Gold payment,USA,"$70,000,000","Google+, Orkut","Apps, Internet",2006,50,50,"Jambool operates SocialGold, an industry virtual monetization platform that enables developers to create and manage virtual currency.",
231,Google,2010,Slide.com,Social gaming,USA,"$228,000,000","Google+, Orkut, Google Play","Developer Tools, Software",2005,100,100,"Slide enables users to create and personalize widgets and use them on social networks, blogs and desktops.",
232,Google,2010,Instantiations,Java/Eclipse/AJAX developer tools,USA,N/A,Google Web Toolkit,Software,1998,50,50,Instantiations uses the Smalltalk development language to develop commercial software products.,
233,Google,2018,Zetawire,"Mobile payment, NFC",CAN,N/A,"Android, Google Wallet, Google Checkout",NFC,2007,,25,Zetawire is a mobile payment company enabling consumers to make payments on their smartphones using NFC technology.,
234,Google,2010,Metaweb,Semantic search,USA,N/A,Google Search,"Database, Infrastructure",2005,50,50,Metaweb Technologies develops a community-curated database and semantic data storage infrastructure for the web.,
235,Google,2010,Invite Media,Advertising,USA,"$81,000,000",DoubleClick,Advertising,2007,10000,10000,Invite Media is a stealth mode company developing media-buying optimization technology for the display advertising market.,
236,Google,2010,Ruba.com,Travel,USA,N/A,iGoogle,"Guides, Internet",2008,50,50,Ruba is a web-based visual travel guide that helps travelers discover and plan their next trip.,
237,Google,2010,Simplify Media,Music streaming,USA,N/A,Android,"Digital Entertainment, Digital Media, Mobile",2005,50,50,"Simplify Media develops streaming media software that enables users to remotely access, play and share their personal digital media.",
238,Google,2010,Global IP Solutions,Video and audio compression,USA,"$68,200,000",WebRTC,Software,1999,100,100,The world's most widely deployed technology for processing real-time voice and video over IP Global IP Solutions is the recognized leader,
239,Google,2010,BumpTop,Desktop environment,CAN,"$30,000,000",Android,Software,2007,50,50,BumpTop provides users with a personalized desktop interface allowing users to customize their screens in a 3D environment.,
240,Google,2010,LabPixies,Gadgets,ISR,N/A,"iGoogle, Android",Software,2006,10,10,"LabPixies develops personalized web gadgets, including entertainment gadgets such as games and music, and utilities such as search tools.",
241,Google,2010,Agnilux,Server CPUs,USA,N/A,Android,Hardware,2009,10,10,Agnilux is a stealth semiconductor firm.,
242,Google,2010,PlinkArt,Visual search engine,UK,N/A,Google Goggles,,,,25,,
243,Google,2010,Episodic,Online video platform start-up,USA,N/A,YouTube,"Broadcasting, Internet",2008,10,10,"Episodic, an online video platform, broadcasts live and on-demand video on the web, mobile phones, or other web-enabled devices.",
244,Google,2010,DocVerse,Microsoft Office files sharing site,USA,"$25,000,000",Google Docs,Document Management,2007,10,10,"DocVerse offers a plug-in for MS Word, PowerPoint, and Excel that turns these apps into full-fledged, web-enabled, collaboration tools.",
245,Google,2010,Picnik,Photo editing,USA,N/A,Picasa,Photosharing,2006,50,50,Picnik is an online photo editor that provides its users access to photo-editing tools.,
246,Google,2010,reMail,Email search,USA,N/A,Gmail,"Email, Messaging, Mobile Apps",2008,10000,10000,ReMail is an email app that downloads email to iPhone and lets users go through a comprehensive email search.,
247,Google,2010,Aardvark,Social search,USA,"$50,000,000",Aardvark,"Internet, Search Engine, Social",2007,50,50,Aardvark is a social search engine that allows users to ask questions and receive answers from their extended network.,
248,Google,2009,AppJet,Collaborative real-time editor,USA,N/A,"Google Wave, Google Docs","Software, Venture Capital",2007,,25,AppJet is an online programming tool and web-based text editor for building simple web applications.,
249,Google,2009,Teracent,Online advertising,USA,N/A,AdSense,"Advertising, Machine Learning",2003,50,50,Teracent is a company that helps advertisers format and more precisely target display ads to particular groups of people.,
250,Google,2009,AdMob,Mobile advertising,USA,"$750,000,000","DoubleClick, Invite Media","Ad Network, Advertising, Apps, Marketing, Mobile",2008,,25,AdMob is a mobile advertising network that helps app developers monetize and promote their mobile and tablet apps with ads.,
251,Google,2009,Gizmo5,Voice over IP,USA,"$30,000,000","Google Talk, Google Hangouts","Public Relations, VoIP",2003,1000,1000,Gizmo5 is a voice over Internet protocol communications network and a proprietary freeware soft phone offering IM and VoIP calls.,
252,Google,2009,reCAPTCHA,Security,USA,N/A,Google Books,Security,2007,10000,10000,"reCAPTCHA is a free CAPTCHA service that enables users to digitize books, newspapers and old-time radio shows.",
253,Google,2009,On2,Video compression,USA,"$133,000,000","WebM, YouTube","Content, Internet, SaaS, Software, Video",1992,100,100,On2 Technologies offers power video codec solutions for wireless IC designs.,
254,Google,2008,TNC,Weblog software,KOR,N/A,Blogger,"Google, Web Browsers, Web Hosting",2004,10,10,"TNC is a blogging platform provider based in South Korea. The company was acquired by Google on September 12, 2008.",
255,Google,2008,Omnisio,Online video,USA,"$15,000,000",YouTube,"File Sharing, Video",2007,10000,10000,Omnisio is an online platform that enables users to annotate and share videos from any website.,
256,Google,2007,Jaiku,Microblogging,FIN,N/A,Google Mobile,Mobile,2006,10,10,Jaiku was a social networking site that allows users to send short messages and comment on and post. But is Now no more available.,
257,Google,2007,Zingku,Social networking service,USA,N/A,Google Mobile,"Digital Media, Social Media, Social Network",2005,10,10,Zingku is a mobile social network service allowing users to securely create and exchange things of interest with friends.,
258,Google,2007,ImageAmerica,Aerial photography,USA,N/A,Google Maps,not provided,1989,10,10,Document Scanning Company,
259,Google,2007,Postini,Communications security,USA,"$625,000,000",Gmail,"Cyber Security, Internet, Security",1999,500,500,Postini offers solutions that protect companies from malicious internet attacks.,
260,Google,2007,GrandCentral,Voice over IP,USA,"$45,000,000",Google Voice,"Mobile, Telecommunications, VoIP",2006,10,10,"GrandCentral provides users with a single phone number that can access all their numbers, such as mobile, home, and work numbers.",
261,Google,2007,Zenter,Presentation program,USA,N/A,Google Docs,"Content, E-Commerce, Web Hosting",2018,,25,Zenter is a web-based presentation app that allows users to create PowerPoint-like presentations on the web and share them with other users.,
262,Google,2007,PeakStream,Parallel processing,USA,N/A,Android,"Apps, Developer APIs, GPU, Software",2005,10,10,PeakStream provides a software application platform for the high-performance computing market.,
263,Google,2007,FeedBurner,Web feed,USA,"$100,000,000",FeedBurner,"Blogging Platforms, Internet, Podcast",2004,50,50,FeedBurner is a feed management service that allows blog owners and podcasters to share and track their feeds with powerful tools.,
264,Google,2007,Panoramio,Photo sharing,ESP,N/A,Panoramio,"Photo Sharing, Photography, Social Media",2003,50,50,Panoramio is a geolocation-oriented photo sharing website that provides imagery for Google Earth.,
265,Google,2007,Crusix,Social networking service,USA,N/A,YouTube,could not find,,,25,,
266,Google,2007,GreenBorder,Computer security,USA,N/A,Google Chrome,"Computer, Internet, Software",2001,10,10,A security software company that specialized in using virtualization to create safe zones for online activities for Internet users.,
267,Google,2007,Marratech,Videoconferencing,SWE,"$15,000,000","Google Talk, Google Hangouts",Software,1998,,25,Marratech is a company that provides video conferencing software.,
268,Google,2007,Tonic Systems,Presentation program,USA,N/A,Google Docs,Web Development,1999,,25,"Tonic Systems, Inc. provides Java presentation automation products and solutions for document management.",
269,Google,2007,DoubleClick,Online advertising,USA,"$3,100,000,000",AdSense,Advertising,1995,5000,5000,"DoubleClick, a subsidiary of Google, develops and provides internet ad serving services.",
270,Google,2007,Trendalyzer,Statistical software,SWE,N/A,Google Analytics,not provided,,,25,,
271,Google,2007,Adscape,In-game advertising,USA,"$23,000,000",AdSense,"Advertising, Digital Media, Marketing",2018,,25,Adscape Media is a small in-game advertising company based in San Francisco California. Adscape Media offers dynamic delivery of,
272,Google,2006,Endoxon,Mapping,CHE,"$28,000,000",Google Maps,Information Technology,1988,,25,Endoxon is a mapping company,
273,Google,2006,JotSpot,Web application,USA,N/A,Google Sites,"Collaboration, Enterprise Software, Software",2004,10,10,JotSpot provides structured wiki software for small to medium-sized businesses.,
274,Google,2006,Logo of YouTube (2005-2011).svg YouTube,Video sharing,USA,"$1,650,000,000",YouTube,"Internet, Music, Video",2005,5000,5000,"YouTube, a video-sharing platform, allows users to upload, view, and share videos, including movie and music clips and amateur content.",
275,Google,2006,Neven Vision Germany GmbH,Computer vision,GER,N/A,"Picasa, Google Goggles",Software,2003,,25,"Neven Vision is a developer of mobile recognition engines for mobile phone and consumer electronics industries, and more.",
276,Google,2006,2Web Technologies,Online spreadsheets,USA,N/A,Google Spreadsheet,Software,2003,,25,2Web Technologies provides web-based spreadsheet solutions for large scale businesses.,
277,Google,2006,Orion,Web search engine,AUS,N/A,Google Search,"Content, Search Engine, Web Hosting",,,25,not provided,
278,Google,2006,@Last Software,3D modeling software,USA,N/A,Google Sketchup,"3D Technology, Developer Tools",1999,,25,@Last Software is a 3D-design toolmaker and developer of the SketchUp software.,
279,Google,2006,Upstartle,Word processor,USA,N/A,Google Docs,Software,2004,,25,"Upstartle, a software development company, provides a web application (Writely) that enables users to edit their documents online.",
280,Google,2006,Measure Map,Weblog software,USA,N/A,Google Analytics,"Advertising, Analytics, Big Data",,10,10,Measure Map is a distance measurement tool that provides free statistical analysis for bloggers.,
281,Google,2006,dMarc Broadcasting,Advertising,USA,"$102,000,000",AdSense,"Advertising, Advertising Platforms, Internet Radio",2002,,25,dMarc Broadcasting is a radio advertising company.,
282,Google,2005,allPAY GmbH,Mobile software,GER,N/A,Google Mobile,Mobile,1999,,25,allPAY is a mobile company that was acquired by Google in December of 2005.,
283,Google,2005,bruNET GmbH,Mobile software,GER,N/A,Google Mobile,could not find,,,25,,
284,Google,2005,Phatbits,Widget engine,USA,N/A,Google Desktop,not provided,2004,,25,not provided,
285,Google,2018,Skia Inc.,Graphics library,USA,N/A,Skia,Graphic Design,1996,,25,Skia is an open source 2D graphics library which provides common APIs that work across a variety of hardware and software platforms.,
286,Google,2005,Android Inc.,Mobile operating system,USA,"$50,000,000",Android,"Linux, Mobile, Search Engine",2003,,25,Android provides an open-source mobile software platform that allows developers to create applications for mobile devices.,
287,Google,2005,Akwan Information Technologies,Search engines,BRA,N/A,Internet backbone,"Information Technology, IT Management, Search Engine",2000,10000,10000,"Akwan Information Technologies was a search engine company based in Brazil. It was acquired by Google on July 20, 2005, and is now a part",
288,Google,2018,Reqwireless,Mobile browser,CAN,N/A,Google Mobile,Wireless,2001,,25,Reqwireless makes Web browser and e-mail software for use on wireless devices,
289,Google,2005,Dodgeball,Social networking service,USA,N/A,Google Latitude,"Mobile Devices, Software",,,25,Dodgeball is a location-based social networking software provider for mobile devices.,
290,Google,2005,Urchin Software Corporation,Web analytics,USA,N/A,Google Analytics,Software,,,25,Urchin Software analyzes web server log file content to generate traffic reports based on the log data.,
291,Google,2004,"Keyhole, Inc",Map analysis,USA,N/A,"Google Maps, Google Earth","Geospatial, Software",2001,50,50,Keyhole is a software development company that specializes in geospatial data visualization applications.,
292,Google,2018,Where2,Map analysis,AUS,N/A,Google Maps,Software,2004,10000,10000,"Where2 is a GPS navigation service that notifies drivers of upcoming traffic, tie-ups, and automatically suggests alternate routes.",
293,Google,2018,ZipDash,Traffic analysis,USA,N/A,Google Maps,"Automotive, E-Commerce, Mobile, Real Time, Travel",2003,,25,"ZipDash tackles highway congestion by providing individuals with real-time, accurate traffic information.",
294,Google,2004,Picasa,Image organizer,USA,N/A,"Picasa, Blogger",could not find,,,25,,
295,Google,2004,Ignite Logic,HTML editor,USA,N/A,Google Sites,not provided,2003,,25,"Ignite Logic, Inc was a startup company purchased by Google in 2004. The company provided templates for creating Web sites and mainly",
296,Google,2018,Sprinks,Online advertising,USA,N/A,"AdSense, AdWords",not provided,2002,,25,not provided,
297,Google,2018,Genius Labs,Blogging,USA,N/A,Blogger,"Developer APIs, Developer Tools, Software",1996,5000,5000,"GeniusLabs, Inc. is a leading developer of distributed applications and custom software using Microsoft technologies.",
298,Google,2003,Kaltix,Web search engine,USA,N/A,iGoogle,"SEO, Web Hosting",2003,,25,Kaltix Corporation develops search tools for people to find information on the Web.,
299,Google,2018,Neotonic Software,Customer relationship management,USA,N/A,"Google Groups, Gmail","CRM, Software",2001,,25,email-based CRM solutions,
300,Google,2018,Applied Semantics,Online advertising,USA,"$102,000,000","AdSense, AdWords","Developer APIs, Enterprise Software, Mobile Apps",1998,10000,10000,"Applied Semantics develops software apps for the online advertising, domain name, and enterprise information management markets.",
301,Google,2018,Pyra Labs,Weblog software,USA,N/A,Blogger,"Blogging Platforms, Developer APIs, Developer Tools, Enterprise Software, Project Management, Social Media",1999,50,50,"Pyra Labs is an e-blogging web application that integrates project manager, contact manager and to do list functionalities.",
302,Google,2001,Outride,Web search engine,USA,N/A,Google Personalized Search,"Energy, Information Technology, Online Portals",,,25,"Outride Inc., a Redwood City, Calif.-based developer of online information retrieval technologies.",
303,Google,2001,Deja,Usenet,USA,N/A,Google Groups,"Information Technology, Internet, Web Development",,,25,"Deja.com, Inc. provides two powerful Web-based services - the first Precision Buying Service, and the leading Usenet Discussion Service.",
304,Google,2012,WIMM Labs,Android-powered smartwatches,USA,N/A,Android Wear,"Hardware, Software, Wearables",2010,50,50,WIMM Labs offers a platform for smart micro devices that deliver information at a glance in a wearable form.,
