Column2,Column1,Id,AcquiredBy,Acquisition date,Company,Business,Country,Value (USD),Derived products,Categories,Founded,Founded(modified),Size,Size(modified),Description,Broad Category
131,128,128,Google,2015,Thrive Audio,Surround sound technology,IRL,,Google Cardboard,"Audio, 3d",2012,2012,1000,1000,Thrive Audio a young tech startup company made up live and breathe 3D virtual audio environments.,Uncategorised
132,129,129,Google,2015,Skillman & Hackett,Virtual reality software,USA,,Tilt Brush,"Software, Virtual reality",2014,2014,10,10,"Skillman & Hackett is a San Francisco design studio focused on Rapid Prototyping, Virtual Reality.",AR/VR
133,130,130,Google,2015,Red Hot Labs,App advertising and discovery,USA,,Google Play,"Advertising Platforms, Apps, Mobile, Software",2012,2012,10,10,Toro is an industry leader in running high performance Facebook campaigns for mobile apps.,AR/VR
134,131,131,Google,2015,Softcard,Mobile payments,USA,,Android Pay,"Apps, Mobile Payments",2011,2011,500,500,"Softcard, a mobile payments platform, enables users to make payments, redeem offers, and store loyalty, membership, and reward cards.",Software
135,132,132,Google,2015,Odysee,Multimedia sharing and storage,USA,,Google+,"Enterprise Software, Mobile Apps, Photo Sharing",2011,2011,10,10,"Odysee is Nimbuz Inc's second product. Odysee is a sharable, cross platform camera roll, built over distributed storage.",AR/VR
136,133,133,Google,2015,Launchpad Toys,Child-friendly apps,USA,,YouTube for Kids,"Apps, Education, iOS",2010,2010,10,10,"Launchpad Toys develops digital toys and tools that empower kids to create, learn and share their ideas through play.",Software
137,134,134,Google,2014,Vidmaker,Video editing,USA,,YouTube,"Collaboration, Social Media, Video",2011,2011,10,10,Vidmaker is a collaborative online video editor that makes it easy to work with video anywhere and with anyone.,Media/Ad/Content
138,135,135,Google,2014,RelativeWave,Mobile software prototyping,USA,,Android,"Apps, Developer Tools",2012,2012,10,10,RelativeWave is a research and development shop located in San Francisco that focuses on app development and design tools.,Software
139,136,136,Google,2014,Revolv,Home automation,USA,,Nest Labs,"Internet of Things, Smart Home, Software",2016,2016,50,50,Revolv is a monitoring and control system that allows users to control their connected devices from a single hub.,AR/VR
140,137,137,Google,2014,Dark Blue Labs & Vision Factory,Artificial intelligence,UK,,Google DeepMind,"Artificial Intelligence, Data Visualization, Machine Learning",2014,2014,10,10,"Learning deep representations of data to make intelligent products, including natural language understanding, a reality.",AI/ML/Analytics
141,138,138,Google,2014,Firebase,Data synchronization,USA,,Google Cloud Platform,"Cloud Infrastructure, Developer APIs, Developer Tools, Enterprise Software, Mobile Apps, Real Time",2011,2011,250,250,"Firebase is Google's mobile platform. Build and grow your iOS, Android, or Web app with Firebase.",AR/VR
142,139,139,Google,2014,Polar,Social polling,USA,,Google+,"Fitness, Health Care, Wearables",1977,1977,,25,Polar offers heart rate-based training solutions as well as GPS-enabled cycling computers and sports watches for endurance training.,AR/VR
143,140,140,Google,2014,Lift Labs,Liftware,USA,,Verily,"Hardware, Health Care, Medical, Software",2010,2010,10,10,"Aim of enabling people, communities, companies and society to thrive",AR/VR
144,141,141,Google,2014,Zync Render,Cloud-based visual effects software,USA,,Google Cloud Platform,"Digital Media, Flash Storage, Social Media",2010,2010,10,10,ZYNC Render is a cloud-based visual effects storage and rendering platform.,Software
145,142,142,Google,2014,Gecko Design,Mechanical design,USA,,X,Product Design,1996,1996,10,10,Gecko Design Inc. is a product design firm that converges the language of design and manufacturing.,Uncategorised
146,143,143,Google,2014,Jetpac,"Artificial intelligence, image recognition",USA,,Picasa,"AI, ML",2011,2011,10,10,Jetpac is a photo app that enables users to collect photos shared by Facebook friends of places they want to visit.,AI/ML/Analytics
147,144,144,Google,2014,Emu,IM client,USA,,"Google Hangouts, Google Now",E-commerce,2012,2012,10,10,emu.me is a money messaging platform that enables its users to send and request for money via email.,Media/Ad/Content
148,145,145,Google,2014,Director,Mobile video,USA,,"YouTube, Android","Energy, Solar",1984,1984,100,100,Director is a company that focuses on keeping consumers up to date on solar news.,AR/VR
149,146,146,Google,2014,drawElements,Graphics compatibility testing,FIN,,Android,Enterprise Software,2008,2008,10,10,drawElements provides its clients with computer graphics solutions.,AR/VR
150,147,147,Google,2014,Songza,Music streaming,USA,,"Google Play, Android TV",Music,2007,2007,50,50,Songza is a music streaming and recommendation service offering curated playlists based on the time of day or a user's mood or activity.,Media/Ad/Content
151,148,148,Google,2014,Appurify,Automated application testing,USA,,Android,"Android, Apps, iOS, Mobile, Test and Measurement",2012,2012,50,50,Appurify enables mobile test automation on real devices for mobile teams to build better apps.,Software
152,149,149,Google,2014,Dropcam,Home monitoring,USA,"$555,000,000 ",Nest Labs,"Consumer Electronics, Hardware, SaaS",2009,2009,100,100,Dropcam develops a Wi-Fi camera with easy setup and continuous cloud recording.,AR/VR
153,150,150,Google,2014,mDialog,Online advertising,CAN,,DoubleClick,"Advertising, Information Technology, Video Streaming",2005,2005,50,50,mDialog is a Canada-based company that provides video stream management services on connected devices.,Software
154,151,151,Google,2014,Alpental Technologies,Wireless,USA,,Google,Information Technology,2012,2012,10,10,"Alpental is developing next-generation wireless technology.It was founded in 2012 and is based in Bothell, Washington. As per the transaction announced on June 19, 2014, Alpental Technologies, Inc. operates as a subsidiary of Google Inc.",Software
155,152,152,Google,2014,Skybox Imaging,Satellite,USA,"$500,000,000 ","Google Maps, Project Loon","Cloud Security, Cyber Security, Enterprise Software, Network Security, Security, Software",2002,2002,500,500,Skybox Security is a global leader in security analytics for cybersecurity management,AR/VR
156,153,153,Google,2014,Divide,Mobile device management,USA,,Android for Work,"Enterprise Software, Information Technology, Mobile, SaaS, Software",2010,2010,250,250,"Divide is a dual-persona platform, which separates iOS and android devices into two personas for work and play.",AR/VR
157,154,154,Google,2014,Quest Visual,Augmented reality,USA,,Google Translate,"Data Visualization, iOS, Software",2009,2009,10,10,Maker of Word Lens and application which instantly translates printed words from one language to another using a device's built-in video,AR/VR
158,155,155,Google,2014,Appetas,Restaurant website creation,USA,,Zagat,"Network Security, Restaurants, SaaS",2012,2012,50,50,"Appetas offers a restaurant marketing platform that enables restaurants to easily create web, mobile, and social sites.",Security
159,156,156,Google,2014,Stackdriver,Cloud computing,USA,,Google Cloud Platform,"Apps, Cloud Computing, Enterprise Software, Infrastructure",2012,2012,50,50,Stackdriver provides monitoring services for cloud-powered applications.,AR/VR
160,157,157,Google,2014,MyEnergy,Online energy usage monitoring,USA,,Nest Labs,"Clean Energy, Energy Efficiency",2007,2007,50,50,MyEnergy is a personalized guide to energy savings with tips and incentives for reducing energy consumption and saving on utility bills.,Uncategorised
161,158,158,Google,2014,Adometry,Online advertising attribution,USA,,Google Analytics AdSense,"Advertising, Analytics, SaaS",2005,2005,250,250,Adometry by Google offers a SaaS-based marketing attribution and optimization platform to improve return on advertising expenditure.,AI/ML/Analytics
162,159,159,Google,2014,Rangespan,E-commerce,UK,,Google Shopping,"Analytics, E-Commerce, Supply Chain Management",2011,2011,50,50,Rangespan is a technology company providing supplier management and market data systems for retailers.,AI/ML/Analytics
163,160,160,Google,2014,Titan Aerospace,High-altitude UAVs,USA,,Project Loon,"Aerospace, Manufacturing",2012,2012,50,50,Titan Aerospace is developing a fleet of revolutionary atmospheric satellites or atmosats.,Hardware
164,161,161,Google,2014,GreenThrottle,Gadgets,USA,,Android,"Console Games, Consumer Electronics, Mobile",2012,2012,50,50,"Green Throttle Games develops quality, innovative games and hardware for mobile devices.",Software
165,162,162,Google,2014,spider.io,Anti-click fraud,UK,,"DoubleClick, Adsense","Advertising, Analytics, Fraud Detection, Internet, Security",2011,2011,10,10,Spider.io is an IT security providers offers Anti-malware solutions for online advertisers.,AI/ML/Analytics
166,163,163,Google,2014,SlickLogin,Internet Security,ISR,,Project Zero (Google),"Mobile, Mobile Apps, Security",2013,2013,50,50,SlickLogin creates the simplest login experience for you using your smartphone.,Software
167,164,164,Google,2014,DeepMind Technologies,Artificial intelligence,UK,"$625,000,000 ",Google DeepMind,"AI, ML",2010,2010,100,100,Google DeepMind develops learning algorithms that use data or raw experience to better themselves.,AI/ML/Analytics
168,165,165,Google,2014,Impermium,Internet security,USA,,Project Zero (Google),Security,2010,2010,50,50,Impermium is a cyber-security company using ML to protect Internet sites against account hijacking and malicious user behavior & content.,Security
169,166,166,Google,2014,Nest Labs,Home automation,USA,"$3,200,000,000 ",Nest Labs,"Sensor, Manufacturing, Smart Home",2010,2010,5000,5000,"Nest Labs is a home automation company manufacturing sensor-driven, Wi-Fi-enabled, self-learning thermostats and smoke detectors.",AR/VR
170,167,167,Google,2014,Bitspin,Timely App for Android,CHE,,Android,"Apps, Web development",2013,2013,,25,Bitspin is creating magical experiences.,Software
171,168,168,Google,2013,Autofuss,Ads and Design,USA,,X,Product Design,2008,2008,50,50,"Autofuss like to fill people with wonder in what they see, what they touch.",Uncategorised
172,169,169,Google,2013,Bot & Dolly,Robotic cameras,USA,,X,"Software, Robotics",2007,2007,50,50,"Bot & Dolly is a design and engineering studio that specializes in automation, robotics, and filmmaking.",AI/ML/Analytics
173,170,170,Google,2013,Holomni,Robotic wheels,USA,,X,"Mobile, Robots",2010,2010,,25,"Holomni produces powered, omnidirectional casters for mobile robots.",Software
174,171,171,Google,2013,Meka Robotics,Robots,USA,,X,Robotics,2007,2007,50,50,Meka Robotics is a provider of world-class robotic systems for researchers.,AI/ML/Analytics
175,172,172,Google,2013,Redwood Robotics,Robotic arms,USA,,X,Robotics,2012,2012,10,10,Redwood Robotics building revolutionary robotic solutions for innovative manufacturing and service companies.,AI/ML/Analytics
176,173,173,Google,2013,Industrial Perception,"Robotic arms, computer vision",USA,,X,AI,2012,2012,10000,10000,Industrial Pereception is home to some of the worldÃŒ_ÃŒ_Ã¥Ãˆs foremost authorities and pioneers in machine vision and artificial intelligence.,AI/ML/Analytics
177,174,174,Google,2013,"SCHAFT, Inc.","Robotics, humanoid robots",JPN,,X,,,2008,,25,,Uncategorised
178,175,175,Google,2013,FlexyCore,DroidBooster App for Android,FRA,"$23,000,000 ",Android,Software,2008,2008,,25,FlexyCore provides software solutions for smartphones.,AR/VR
179,176,176,Google,2013,Flutter,Gesture recognition technology,USA,"$40,000,000 ","Google, Android, X","Content, Software",2015,2015,10,10,Recurring tweets for dynamic content,AR/VR
180,177,177,Google,2013,Bump,Mobile software,USA,,Google Photos,,,2008,,25,,Uncategorised
181,178,178,Google,2013,Waze,GPS navigation software,ISR,"$966,000,000 ",Google Maps,"Mobile Apps, Navigation, Transportation",2007,2007,100,100,"Waze is a mobile navigation app that enables drivers to use live maps, and get real-time traffic updates and other road data.",Software
182,179,179,Google,2013,Makani Power,Airborne wind turbines,USA,,X,Energy,2006,2006,50,50,"Makani Power is an Alameda, California-based company developing airborne wind turbines.",Uncategorised
183,180,180,Google,2013,Wavii,Natural Language Processing,USA,"$30,000,000 ",Google Knowledge Graph,"ML, AI",2009,2009,10,10,"Wavii provides an iPhone app enabling users to follow and receive updates on topics such as celebrities, companies, and politicians.",AI/ML/Analytics
184,181,181,Google,2013,Behavio,Social Prediction,USA,,Google Now,Software,2012,2012,50,50,"Behavio develops software and services that allow mobile devices to sense, understand, and react to human behavior and context.",AR/VR
185,182,182,Google,2013,Talaria Technologies,Cloud computing,USA,,Google Cloud,"Software, Web Design, Web Development",2011,2011,,25,Talaria develops a dynamic web application server that helps people build and run websites more efficiently.,AR/VR
186,183,183,Google,2013,DNNresearch Inc.,Deep Neural Networks,CAN,,"Google, X",AI,2012,2012,,25,DNNresearch develops voice and image recognition solutions.,AI/ML/Analytics
187,184,184,Google,2013,Channel Intelligence,Product ecommerce,USA,"$125,000,000 ",Google Shopping,"Manufacturing, Product Search, Shopping",1999,1999,10000,10000,Channel Intelligence develops technology that connects shoppers with retailers through their brand website and digital media.,AR/VR
188,185,185,Google,2012,BufferBox,Package delivery,CAN,"$17,000,000 ","Google Shopping, Android","E-Commerce, Marketplace, Shopping",2011,2011,50,50,"BufferBox is a startup that develops an automated, self-serve kiosk to eliminate failed parcel deliveries.",AR/VR
189,186,186,Google,2012,Incentive Targeting Inc.,Digital coupons,USA,,Google Offers,"Public Relations, Retail",2007,2007,50,50,Incentive Targeting offers a software-as-a-service platform for promotional campaigns in the grocery industry.,AI/ML/Analytics
190,187,187,Google,2012,Viewdle,Facial recognition,UKR,"$45,000,000 ",Android,"Analytics, Augmented Reality, Computer Vision, Mobile",2006,2006,50,50,Viewdle is a mobile-focused visual analysis company creating computer vision and recognition technologies for consumer products.,AI/ML/Analytics
191,188,188,Google,2012,"Nik Software, Inc.",Photography,USA,,"Google, Android","Image Recognition, Software",1995,1995,250,250,Nik Software offers digital photographic software and technology for digital photography professionals.,AR/VR
192,189,189,Google,2012,VirusTotal.com,Security,ESP,,,Security,2004,2004,50,50,"VirusTotal is a service that analyzes suspicious files and facilitates real-time detection of viruses, worms, trojans and malware content.",Security
193,190,190,Google,2012,Wildfire Interactive,Social media marketing,USA,"$450,000,000 ","Google, Google+","Consulting, Content, Data Integration, Developer Tools",2007,2007,10,10,Wellfire Interactive is a web consultancy firm that helps businesses in various technological solutions.,Hardware
194,191,191,Google,2012,Sparrow,Mobile apps,FRA,"$25,000,000 ",Gmail,"Email, Messaging",2015,2015,10,10,"Sparrow was an email client for OS X and iOS. After a 4-month beta period, Sparrow went on sale in the Mac App Store on February 9, 2011 and became the top paid and top grossing app in less than one day. On July 20, 2012, the company announced that it had been acquired by Google and was ceasing continued development of the application save critical...",AI/ML/Analytics
195,192,192,Google,2012,Quickoffice,Mobile office suite,USA,,Google Docs,"Enterprise Software, iOS, Mobile",1980,1980,250,250,"Quickoffice is a freeware software platform enabling users to open, view and edit Microsoft Office files on mobile phones.",AR/VR
196,193,193,Google,2012,Meebo,Social networking,USA,"$100,000,000 ",Google+,"Internet, Messaging, Web Development",2005,2005,250,250,Meebo is a consumer internet company that offers a social media platform to develop products for enhancing user engagement across the web.,Software
197,194,194,Google,2012,TxVia,Online payments,USA,,"Google Wallet, Google Checkout","Finance, PAAS",2006,2006,1000,1000,TxVia offers an advanced payments processing technology for emerging payments and other transactions in financial services.,Uncategorised
198,195,195,Google,2012,"Milk, Inc",Software company,USA,,Google+,"Apps, Mobile, Software",2011,2011,10,10,Milk is a mobile development lab that builds innovative mobile apps.,AR/VR
199,196,196,Google,2011,Clever Sense,Local recommendations app,USA,,Google Maps,"ML, AI",2008,2008,50,50,"Clever Sense offers ÃŒ_ÃŒ_ÃŒÃ‚Alfred,ÃŒ_ÃŒ_Ã¥Âù a mobile app delivering personalized recommendations for nearby restaurants, coffee shops, and nightclubs.",AI/ML/Analytics
200,197,197,Google,2011,RightsFlow,Music rights management,USA,,YouTube,"Accounting, Music, Legal",2007,2007,50,50,"RightsFlow offers mechanical licensing, royalty accounting, reporting and payment services for organizations, songwriters and individuals.",Media/Ad/Content
201,198,198,Google,2011,Katango,Social circle organization,USA,,Google+,Social Media,2010,2010,10,10,Katango develops social algorithms that improve peopleÃŒ_ÃŒ_Ã¥Ãˆs online social interaction and experiences.,Media/Ad/Content
202,199,199,Google,2011,Apture,Instantaneous search,USA,,Google Search,Advertising,2007,2007,50,50,Apture allows users to search and explore content without leaving their current webpage.,Media/Ad/Content
203,200,200,Google,2011,SocialGrapple,Social media analytics service,CAN,,Google+ Google Analytics,"Analytics, Social Media",2010,2010,10,10,SocialGrapple operates as a social graph analytics service provider.,AI/ML/Analytics
204,201,201,Google,2011,DailyDeal,One deal a day service,GER,"$114,000,000 ",Google Offers,"Beauty, Shopping",2009,2009,50,50,"DailyDeal offers deals on food, drinks, beauty treatments, travel, and more.",Uncategorised
205,202,202,Google,2011,Zagat,Restaurant reviews,USA,"$151,000,000 ","Google Places, Google Maps",Consumer Reviews,1979,1979,250,250,"Zagat is a web and smartphone app that provides access to ratings and reviews for restaurants, nightspots and hotels worldwide.",Uncategorised
206,203,203,Google,2011,Zave Networks,Digital coupons,USA,,Google Offers,"Apps, Mobile",2006,2006,10,10,"Zave Networks is a mobile app that enables consumers to access various digital discounts, offers and values from their neighborhood stores.",Software
207,204,204,Google,2011,Motorola Mobility,Mobile device manufacturer,USA,"$12,500,000,000 ","Android, Google TV, Android TV, Patent portfolio",Mobile Apps,2011,2011,5000,5000,"Motorola exists to invent, build and deliver the best mobile devices on the planet, improving the lives of millions of people.",Software
208,205,205,Google,2011,Dealmap,One deal a day service,USA,,Google Offers,"Coupons, Local, Mobile, Search Engine, Social Media",2010,2010,50,50,"The Dealmap is an information source for people to find and share offers on national brands, websites and local businesses",AR/VR
209,206,206,Google,2011,PittPatt,Facial recognition system,USA,,Android,Face Recognition,2004,2004,50,50,PittPatt (Pittsburgh Pattern Recognition) develops reliable face recognition software for images and video.,Uncategorised
210,207,207,Google,2011,Fridge,Social groups,USA,,Google+,Photo Sharing,,2006,10,10,"Fridge is a website enabling anyone to set up a lightweight, single-serving social network and organize their private online groups.",AR/VR
211,208,208,Google,2011,Punchd,Loyalty program,USA,,Google Offers,"Android, iOS, Loyalty Programs, Mobile",2010,2010,10,10,Punchd is a mobile application facilitating mobile phone-enabled loyalty cards for businesses providing reward points for their customers.,Software
212,209,209,Google,2011,SageTV,Media center,USA,,"Google TV, Google Fiber, Android TV","Digital Entertainment, Events, Media and Entertainment",2002,2002,,25,SageTV provided digital media entertainment through the use of the internet.,AI/ML/Analytics
213,210,210,Google,2011,Admeld,Online advertising,USA,"$400,000,000 ","DoubleClick, Invite Media","Advertising, Auctions, Software",2007,2007,100,100,Admeld is an advertising optimization platform providing online publishers with technology and expertise to sell their ad inventory.,AR/VR
214,211,211,Google,2011,PostRank,Social media analytics service,CAN,,Google+ Google Analytics,"Analytics, Social Media, Test and Measurement",2007,2007,10000,10000,PostRank is a real-time engagement monitoring and analytics platform for social web content.,AI/ML/Analytics
215,212,212,Google,2011,Sparkbuy,Product search,USA,,Google Shopping,"Consumer Electronics, E-Commerce, Shopping",2010,2010,10000,10000,Sparkbuy is an online service that allows users to compare the prices and features of consumer electronics gadgets.,Hardware
216,213,213,Google,2011,TalkBin,Mobile software,USA,,Android,Messaging,2014,2014,10000,10000,TalkBin offers a tool that allows customers to send feedback messages to local businesses.,Uncategorised
217,214,214,Google,2011,ITA Software,Travel technology,USA,"$676,000,000 ",Google Flights,Information Technology,1996,1996,500,500,ITA Software is an airline IT and services provider helping travel companies reduce costs and improve customer service.,Software
218,215,215,Google,2011,PushLife,Service provider,CAN,"$25,000,000 ",Google Play,"Digital Media, E-Commerce, Mobile",2008,2008,10000,10000,Pushlife is a mobile commerce platform for mobile operators.,Software
219,216,216,Google,2011,Green Parrot Pictures,Digital video,IRL,,YouTube,"Digital Media, Enterprise Software, Video",2004,2004,10000,10000,"GreenParrotPictures was founded in 2004 as a Digital Video Technology Company providing IP licensing, consulting and software development.",AR/VR
220,217,217,Google,2011,BeatThatQuote.com,Price comparison service,UK,"$65,000,000 ",Google Shopping,,,2006,,25,,Uncategorised
221,218,218,Google,2011,Next New Networks,Online video,USA,,YouTube,"Video, Video Streaming",2006,2006,50,50,"Next New Networks is a producer of online video networks and a media company allowing viewers to contribute, share and distribute content.",Uncategorised
222,219,219,Google,2011,Zynamics,Security,GER,,Project Zero (Google),Security,2004,2004,10,10,Zynamics is a security analytics software company providing software analysis tools to help with malware analysis.,Security
223,220,220,Google,2011,SayNow,Voice recognition,USA,,Google Voice,"Messaging, Social Network",2005,2005,50,50,SayNow is a free service that lets fans and celebrities connect with one another via voice and text messaging.,Uncategorised
224,221,221,Google,2011,eBook Technologies,E-book,USA,,Google Books,"Content, Ebooks",1998,1998,10,10,eBook Technologies supplies a family of intelligent reading devices and technologies that enable automated publishing and control.,Media/Ad/Content
225,222,222,Google,2010,Phonetic Arts,Speech synthesis,UK,,"Google Voice, Google Translate",Software,2006,2006,10000,10000,Phonetic Arts supplies speech synthesis technologies to the games industry.,AR/VR
226,223,223,Google,2010,Widevine Technologies,DRM,USA,,Google TV,"Digital Entertainment, Digital Media, Video",1998,1998,100,100,Widevine provides digital media solutions for the delivery of digital entertainment to any device.,AI/ML/Analytics
227,224,224,Google,2010,BlindType,Touch typing,GRE,,Android,Mobile,,2005,10,10,"BlindType offers Fleksy, a virtual keyboard.",Software
228,225,225,Google,2010,Plannr,Schedule management,USA,,Google+,Mobile,,2005,10,10,Plannr is an email and mobile-based organizer and event planner helping users coordinate their schedules and emails.,Software
229,226,226,Google,2010,Quiksee,Online video,ISR,"$10,000,000 ",Google Maps,Digital Media,2004,2004,50,50,Quiksee is an online tour technology platform that allows users to create location-based interactive visual media content.,Software
230,227,227,Google,2010,Angstro,Social networking service,USA,,"Google, Google Alert","Enterprise Software, Facebook, Social Network",2007,2007,10,10,Angstro delivers critical business news about people and companies across professional networks.,AR/VR
231,228,228,Google,2010,"SocialDeck, Inc.",Social gaming,CAN,,"Google, Google+","Mobile, Social Website",2008,2008,10000,10000,SocialDeck is a PR and social marketing company.,Software
232,229,229,Google,2010,Like.com,Visual search engine,USA,"$100,000,000 ",Google Shopping,Image Recognition,1986,1986,10000,10000,Like.com is a visual search engine that allows users to find similar products on the web and compare their prices.,Uncategorised
233,230,230,Google,2010,Jambool,Social Gold payment,USA,"$70,000,000 ","Google+, Orkut","Apps, Internet",2006,2006,50,50,"Jambool operates SocialGold, an industry virtual monetization platform that enables developers to create and manage virtual currency.",Software
234,231,231,Google,2010,Slide.com,Social gaming,USA,"$228,000,000 ","Google+, Orkut, Google Play","Developer Tools, Software",2005,2005,100,100,"Slide enables users to create and personalize widgets and use them on social networks, blogs and desktops.",AR/VR
235,232,232,Google,2010,Instantiations,Java/Eclipse/AJAX developer tools,USA,,Google Web Toolkit,Software,1998,1998,50,50,Instantiations uses the Smalltalk development language to develop commercial software products.,AR/VR
236,233,233,Google,2018,Zetawire,"Mobile payment, NFC",CAN,,"Android, Google Wallet, Google Checkout",NFC,2007,2007,,25,Zetawire is a mobile payment company enabling consumers to make payments on their smartphones using NFC technology.,Uncategorised
237,234,234,Google,2010,Metaweb,Semantic search,USA,,Google Search,"Database, Infrastructure",2005,2005,50,50,Metaweb Technologies develops a community-curated database and semantic data storage infrastructure for the web.,Uncategorised
238,235,235,Google,2010,Invite Media,Advertising,USA,"$81,000,000 ",DoubleClick,Advertising,2007,2007,10000,10000,Invite Media is a stealth mode company developing media-buying optimization technology for the display advertising market.,Media/Ad/Content
239,236,236,Google,2010,Ruba.com,Travel,USA,,iGoogle,"Guides, Internet",2008,2008,50,50,Ruba is a web-based visual travel guide that helps travelers discover and plan their next trip.,Software
240,237,237,Google,2010,Simplify Media,Music streaming,USA,,Android,"Digital Entertainment, Digital Media, Mobile",2005,2005,50,50,"Simplify Media develops streaming media software that enables users to remotely access, play and share their personal digital media.",AI/ML/Analytics
241,238,238,Google,2010,Global IP Solutions,Video and audio compression,USA,"$68,200,000 ",WebRTC,Software,1999,1999,100,100,The world's most widely deployed technology for processing real-time voice and video over IP Global IP Solutions is the recognized leader,AR/VR
242,239,239,Google,2010,BumpTop,Desktop environment,CAN,"$30,000,000 ",Android,Software,2007,2007,50,50,BumpTop provides users with a personalized desktop interface allowing users to customize their screens in a 3D environment.,AR/VR
243,240,240,Google,2010,LabPixies,Gadgets,ISR,,"iGoogle, Android",Software,2006,2006,10,10,"LabPixies develops personalized web gadgets, including entertainment gadgets such as games and music, and utilities such as search tools.",AR/VR
244,241,241,Google,2010,Agnilux,Server CPUs,USA,,Android,Hardware,2009,2009,10,10,Agnilux is a stealth semiconductor firm.,AR/VR
245,242,242,Google,2010,PlinkArt,Visual search engine,UK,,Google Goggles,,,2005,,25,,Uncategorised
246,243,243,Google,2010,Episodic,Online video platform start-up,USA,,YouTube,"Broadcasting, Internet",2008,2008,10,10,"Episodic, an online video platform, broadcasts live and on-demand video on the web, mobile phones, or other web-enabled devices.",Software
247,244,244,Google,2010,DocVerse,Microsoft Office files sharing site,USA,"$25,000,000 ",Google Docs,Document Management,2007,2007,10,10,"DocVerse offers a plug-in for MS Word, PowerPoint, and Excel that turns these apps into full-fledged, web-enabled, collaboration tools.",Uncategorised
248,245,245,Google,2010,Picnik,Photo editing,USA,,Picasa,Photosharing,2006,2006,50,50,Picnik is an online photo editor that provides its users access to photo-editing tools.,AR/VR
249,246,246,Google,2010,reMail,Email search,USA,,Gmail,"Email, Messaging, Mobile Apps",2008,2008,10000,10000,ReMail is an email app that downloads email to iPhone and lets users go through a comprehensive email search.,AI/ML/Analytics
250,247,247,Google,2010,Aardvark,Social search,USA,"$50,000,000 ",Aardvark,"Internet, Search Engine, Social",2007,2007,50,50,Aardvark is a social search engine that allows users to ask questions and receive answers from their extended network.,AR/VR
251,248,248,Google,2009,AppJet,Collaborative real-time editor,USA,,"Google Wave, Google Docs","Software, Venture Capital",2007,2007,,25,AppJet is an online programming tool and web-based text editor for building simple web applications.,AR/VR
252,249,249,Google,2009,Teracent,Online advertising,USA,,AdSense,"Advertising, Machine Learning",2003,2003,50,50,Teracent is a company that helps advertisers format and more precisely target display ads to particular groups of people.,AI/ML/Analytics
253,250,250,Google,2009,AdMob,Mobile advertising,USA,"$750,000,000 ","DoubleClick, Invite Media","Ad Network, Advertising, Apps, Marketing, Mobile",2008,2008,,25,AdMob is a mobile advertising network that helps app developers monetize and promote their mobile and tablet apps with ads.,AR/VR
254,251,251,Google,2009,Gizmo5,Voice over IP,USA,"$30,000,000 ","Google Talk, Google Hangouts","Public Relations, VoIP",2003,2003,1000,1000,Gizmo5 is a voice over Internet protocol communications network and a proprietary freeware soft phone offering IM and VoIP calls.,Uncategorised
255,252,252,Google,2009,reCAPTCHA,Security,USA,,Google Books,Security,2007,2007,10000,10000,"reCAPTCHA is a free CAPTCHA service that enables users to digitize books, newspapers and old-time radio shows.",Security
256,253,253,Google,2009,On2,Video compression,USA,"$133,000,000 ","WebM, YouTube","Content, Internet, SaaS, Software, Video",1992,1992,100,100,On2 Technologies offers power video codec solutions for wireless IC designs.,AR/VR
257,254,254,Google,2008,TNC,Weblog software,KOR,,Blogger,"Google, Web Browsers, Web Hosting",2004,2004,10,10,"TNC is a blogging platform provider based in South Korea. The company was acquired by Google on September 12, 2008.",Software
258,255,255,Google,2008,Omnisio,Online video,USA,"$15,000,000 ",YouTube,"File Sharing, Video",2007,2007,10000,10000,Omnisio is an online platform that enables users to annotate and share videos from any website.,AR/VR
259,256,256,Google,2007,Jaiku,Microblogging,FIN,,Google Mobile,Mobile,2006,2006,10,10,Jaiku was a social networking site that allows users to send short messages and comment on and post. But is Now no more available.,Software
260,257,257,Google,2007,Zingku,Social networking service,USA,,Google Mobile,"Digital Media, Social Media, Social Network",2005,2005,10,10,Zingku is a mobile social network service allowing users to securely create and exchange things of interest with friends.,Software
261,258,258,Google,2007,ImageAmerica,Aerial photography,USA,,Google Maps,not provided,1989,1989,10,10,Document Scanning Company,Uncategorised
262,259,259,Google,2007,Postini,Communications security,USA,"$625,000,000 ",Gmail,"Cyber Security, Internet, Security",1999,1999,500,500,Postini offers solutions that protect companies from malicious internet attacks.,Software
263,260,260,Google,2007,GrandCentral,Voice over IP,USA,"$45,000,000 ",Google Voice,"Mobile, Telecommunications, VoIP",2006,2006,10,10,"GrandCentral provides users with a single phone number that can access all their numbers, such as mobile, home, and work numbers.",Software
264,261,261,Google,2007,Zenter,Presentation program,USA,,Google Docs,"Content, E-Commerce, Web Hosting",2018,2018,,25,Zenter is a web-based presentation app that allows users to create PowerPoint-like presentations on the web and share them with other users.,Software
265,262,262,Google,2007,PeakStream,Parallel processing,USA,,Android,"Apps, Developer APIs, GPU, Software",2005,2005,10,10,PeakStream provides a software application platform for the high-performance computing market.,AR/VR
266,263,263,Google,2007,FeedBurner,Web feed,USA,"$100,000,000 ",FeedBurner,"Blogging Platforms, Internet, Podcast",2004,2004,50,50,FeedBurner is a feed management service that allows blog owners and podcasters to share and track their feeds with powerful tools.,Software
